"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed70";"f6";1000;50;-0,504246801460458;-0,479286471563484;-0,513715233768565;-0,459298735042708;-0,503056441677886;-0,484953049166398;-0,474831009545247;-0,444040963199311;-0,465120860327022;-0,479392840300722;0,00793364004987511;84,6859999999997
"elapsed71";"f6";1000;100;-0,472501627268231;-0,512187607903508;-0,437729790765907;-0,526193284346471;-0,481131314053726;-0,464555958674873;-0,524715817966866;-0,539050102813637;-0,547715752861513;-0,501452408559686;0,0114953575163062;162,778
"elapsed72";"f7";100;10;-3,30292081122155e-08;-9,67994612484952e-10;-1,83550693460133e-08;-1,36290445121331e-07;4,0564099593817e-09;1,00345346729045e-08;4,53713802597069e-08;-3,18622909304745e-08;-7,53721897251007e-08;9,42503980489831e-09;0,00289855897426605;2,39500000000044
"elapsed73";"f7";100;30;-0,00419702156690467;-0,0029445892028763;0,00493887743587601;-0,00501974705028398;0,00175461716435219;-0,0023416549904545;-0,00892155213504328;0,000453160870269604;-0,0121246420646413;0,00134053647979603;0,324092175231052;5,64999999999964
"elapsed74";"f7";100;50;-0,142730463268413;0,00152507912104024;0,0157672977152134;-0,00168880683267403;-0,00647462118539183;-0,0761597853005085;0,00240849036241712;0,00820773097194627;-0,0191890545882732;0,00783959765851402;0,977657022191472;9,3760000000002
"elapsed75";"f7";100;100;0,00382611013365173;0,000734467596376385;0,00213910405800673;-0,0146415599305353;0,00914682184027675;-0,00200559026400451;-0,00609432599920823;0,00246286109320176;0,0642399423515946;-0,0030005407532096;0,526402978992794;16,5540000000001
"elapsed76";"f7";500;10;-0,00675858179952059;0,000886227925380174;0,0549118448734281;0,00429185041509112;-0,000355244451197026;-0,0158085296077575;0,0249300482527148;0,00251708864277779;0,000118446843202797;5,67237159644424e-05;0,988970011375405;12,9369999999999
"elapsed77";"f7";500;30;-2,37299929522274e-05;-0,00156961412970011;-0,00145730891704465;0,00297362997497562;-0,00168227901445741;-0,00185639940341924;0,00134292533900504;0,000304506561777113;0,000432387024249961;0,000394122310735873;0,0706984521895772;27,5339999999997
"elapsed78";"f7";500;50;0,00500043355134093;-0,00743848306467451;-0,0512476929390012;-0,028387005460705;-0,00758750096447507;-0,0203776948909355;0,0110804117869835;0,0195962607209133;-0,0220693339445918;-0,000672753740740977;0,694229021458326;43,9069999999992
"elapsed79";"f7";500;100;-0,00262491013903914;-0,00166475951414346;0,00166419119820731;0,000331027181531726;0,00306863703836152;-0,00037727933530728;-0,000656042863884206;0,000966065274448973;-3,18121230765027e-05;7,48919902466512e-05;0,893062493603009;83,625
