"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed85";"f8";100;30;-115,853753097031;-125,062982620719;-309,258087830139;413,582028397085;0,0341149186773375;174,780787078319;387,562035369977;215,631140567385;-285,770974680068;-500;-1967,4837762116;0,0300000000000011
"elapsed86";"f8";100;50;405,255362391472;-98,2547039166093;-80,9291447512805;-146,252581616864;-327,02889945358;409,183339215815;-322,098840260878;234,140407759696;347,260659560561;438,016294036061;-1749,6614804994;0,0799999999999983
"elapsed87";"f8";100;100;371,615618479567;-500;419,397980568008;419,198706458965;417,390831026912;-253,04873762968;-125,030477319857;-139,671431749752;397,795539393528;211,264599359905;-2405,854906636;0,11999999999999
"elapsed88";"f8";500;10;-293,927914703849;-135,130432452047;-317,39319628681;217,327508961273;417,249671231472;-311,58136111269;-231,400891115379;185,14466911934;5,13517035997947;122,177246279799;-1491,01156989297;0,13000000000001
"elapsed89";"f8";500;30;-151,623400758038;395,860181262029;393,529851840021;-500;-306,88304945562;59,8332359366442;431,55098315617;88,1813212462387;468,403031224253;-292,18429026199;-2102,40475525321;0,219999999999999
"elapsed90";"f8";500;50;167,141914717159;199,671807966012;-500;185,445292042638;247,473274227059;-500;441,756538212634;131,224962466188;419,675057386864;-500;-1622,20169466615;0,259999999999991
"elapsed91";"f8";500;100;408,098632313347;-500;-349,838433980388;403,670895303342;210,083924118117;47,4065256232747;404,387555411972;391,782053149246;-500;-85,7757862505512;-2104,36078714015;0,460000000000008
"elapsed92";"f8";1000;10;378,016155530828;-500;-445,247299931307;395,576434970613;410,525754067976;-500;212,871227624558;-332,341982844811;-500;-319,665091228127;-1801,46964175141;0,219999999999999
"elapsed93";"f8";1000;30;437,324362145195;412,606492863396;-327,563808029619;-500;-500;-500;164,43734776398;-500;-500;-500;-2144,4843972092;0,309999999999988
"elapsed94";"f8";1000;50;-248,801814526292;-500;407,027948379134;-270,568362500718;-306,730923478474;-333,199517024242;231,963079722976;-101,090442240836;-303,219553951575;-500;-1906,85226547172;0,490000000000009
"elapsed95";"f8";1000;100;-294,263951247558;-294,263951247558;-294,263951247558;-294,263951247558;-294,263951247558;-294,263951247558;-294,263951247558;237,090830919068;-294,263951247558;-294,263951247558;-2700,20585364092;0,899999999999991
"elapsed96";"f9";100;10;1,53981515878286e-228;1,95169533654064e-228;1,12400092261949e-228;-1,26502712866109e-228;-2,6002417603565e-228;-2,09644250408693e-228;-1,17180817435653e-228;-3,87283377614996e-229;1,32505816492342e-230;-1,52867480391369e-229;0;0,0500000000000114
"elapsed97";"f9";100;30;4,43056917821445e-142;8,18245575003719e-142;-3,64095559093791e-142;-1,59901079296784e-141;6,21614565429928e-143;9,78995888932903e-142;1,21506182432722e-141;-1,67808217003234e-141;8,41977210050034e-142;-4,07749052220503e-142;0;0,0499999999999972
"elapsed98";"f9";100;50;2,43467174305974e-111;5,12558598258933e-111;9,63103334263066e-111;3,80004722583673e-112;-5,52966788558669e-111;9,30989351019562e-111;3,11795506532394e-111;2,61555320689357e-111;-6,18269799292814e-111;2,21590024549363e-111;0;0,0799999999999983
"elapsed99";"f9";100;100;-2,65059989474473e-126;-1,2448066238058e-126;-2,15160180780429e-127;2,81240569565033e-126;-1,89024899149375e-126;-2,18461750846564e-126;1,79079426896781e-128;-9,76212900950404e-128;3,94492056334603e-126;4,06280497879729e-128;0;0,109999999999999
